refrigerant,Temperature_K,Pressure_MPa,Phase,Phase_encoded,mol_weight,Tc_K,Pc_MPa,acentric,GWP,type,Tr,Pr,Density_kg_m3,Enthalpy_kJ_kg,Entropy_J_gK,Cp_J_gK
R123,196.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.42904362673204477,0.02730748225013654,1703.4,126.59,0.68465,0.92413
R123,198.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.4334216229231881,0.02730748225013654,1699.0,128.44,0.69403,0.92466
R123,200.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.4377996191143314,0.02730748225013654,1694.5,130.29,0.70333,0.92531
R123,202.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.4421776153054747,0.02730748225013654,1690.1,132.14,0.71254,0.92605
R123,204.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.446555611496618,0.02730748225013654,1685.6,134.0,0.72167,0.9269
R123,206.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.4509336076877613,0.02730748225013654,1681.2,135.85,0.73071,0.92784
R123,208.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.4553116038789046,0.02730748225013654,1676.7,137.71,0.73968,0.92888
R123,210.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.45968960007004794,0.02730748225013654,1672.2,139.57,0.74858,0.93
R123,212.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.46406759626119126,0.02730748225013654,1667.8,141.43,0.7574,0.93121
R123,214.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.4684455924523346,0.02730748225013654,1663.3,143.29,0.76615,0.93249
R123,216.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.4728235886434779,0.02730748225013654,1658.8,145.16,0.77483,0.93385
R123,218.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.4772015848346212,0.02730748225013654,1654.3,147.03,0.78344,0.93528
R123,220.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.48157958102576454,0.02730748225013654,1649.8,148.9,0.79199,0.93677
R123,222.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.48595757721690785,0.02730748225013654,1645.3,150.77,0.80047,0.93833
R123,224.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.4903355734080512,0.02730748225013654,1640.8,152.65,0.8089,0.93994
R123,226.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.4947135695991945,0.02730748225013654,1636.3,154.53,0.81726,0.94161
R123,228.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.49909156579033775,0.02730748225013654,1631.8,156.42,0.82556,0.94333
R123,230.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5034695619814811,0.02730748225013654,1627.3,158.31,0.83381,0.9451
R123,232.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5078475581726244,0.02730748225013654,1622.7,160.2,0.842,0.94691
R123,234.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5122255543637677,0.02730748225013654,1618.2,162.1,0.85014,0.94876
R123,236.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.516603550554911,0.02730748225013654,1613.6,164.0,0.85822,0.95065
R123,238.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5209815467460543,0.02730748225013654,1609.0,165.9,0.86625,0.95257
R123,240.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5253595429371977,0.02730748225013654,1604.4,167.81,0.87423,0.95453
R123,242.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.529737539128341,0.02730748225013654,1599.8,169.72,0.88216,0.95652
R123,244.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5341155353194843,0.02730748225013654,1595.2,171.63,0.89004,0.95854
R123,246.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5384935315106276,0.02730748225013654,1590.6,173.55,0.89787,0.96058
R123,248.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5428715277017709,0.02730748225013654,1585.9,175.47,0.90566,0.96264
R123,250.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5472495238929143,0.02730748225013654,1581.3,177.4,0.9134,0.96473
R123,252.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5516275200840576,0.02730748225013654,1576.6,179.33,0.92109,0.96684
R123,254.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5560055162752009,0.02730748225013654,1571.9,181.27,0.92875,0.96897
R123,256.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5603835124663442,0.02730748225013654,1567.2,183.21,0.93635,0.97112
R123,258.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5647615086574875,0.02730748225013654,1562.5,185.15,0.94392,0.97328
R123,260.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5691395048486309,0.02730748225013654,1557.8,187.1,0.95144,0.97546
R123,262.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5735175010397742,0.02730748225013654,1553.0,189.05,0.95893,0.97766
R123,264.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5778954972309174,0.02730748225013654,1548.3,191.01,0.96637,0.97987
R123,266.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5822734934220607,0.02730748225013654,1543.5,192.97,0.97377,0.98209
R123,268.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.586651489613204,0.02730748225013654,1538.7,194.94,0.98114,0.98432
R123,270.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5910294858043473,0.02730748225013654,1533.9,196.91,0.98847,0.98657
R123,272.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.5954074819954907,0.02730748225013654,1529.1,198.89,0.99576,0.98883
R123,274.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.599785478186634,0.02730748225013654,1524.2,200.87,1.003,0.9911
R123,276.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.6041634743777773,0.02730748225013654,1519.3,202.85,1.0102,0.99339
R123,278.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.6085414705689206,0.02730748225013654,1514.4,204.84,1.0174,0.99568
R123,280.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.6129194667600639,0.02730748225013654,1509.5,206.83,1.0246,0.99799
R123,282.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.6172974629512072,0.02730748225013654,1504.6,208.83,1.0317,1.0003
R123,284.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.6216754591423506,0.02730748225013654,1499.6,210.84,1.0387,1.0026
R123,286.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.6260534553334939,0.02730748225013654,1494.7,212.84,1.0458,1.005
R123,288.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.6304314515246372,0.02730748225013654,1489.7,214.86,1.0528,1.0074
R123,290.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.6348094477157805,0.02730748225013654,1484.6,216.87,1.0598,1.0097
R123,292.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.6391874439069238,0.02730748225013654,1479.6,218.89,1.0667,1.0121
R123,294.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.6435654400980672,0.02730748225013654,1474.5,220.92,1.0736,1.0145
R123,296.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.6479434362892105,0.02730748225013654,1469.4,222.95,1.0805,1.0169
R123,298.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.6523214324803538,0.02730748225013654,1464.3,224.99,1.0874,1.0194
R123,300.0,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.6566994286714971,0.02730748225013654,1459.2,227.03,1.0942,1.0218
R123,300.61,0.1,liquid,0,152.93,456.83,3.662,0.282,77,HCFC,0.6580347175097958,0.02730748225013654,1457.6,227.66,1.0963,1.0226
R123,300.61,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.6580347175097958,0.02730748225013654,6.3918,398.0,1.6629,0.69994
R123,302.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.6610774248626404,0.02730748225013654,6.3575,398.97,1.6662,0.70108
R123,304.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.6654554210537837,0.02730748225013654,6.3088,400.37,1.6708,0.70274
R123,306.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.6698334172449271,0.02730748225013654,6.261,401.78,1.6754,0.70441
R123,308.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.6742114134360704,0.02730748225013654,6.2141,403.19,1.68,0.70611
R123,310.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.6785894096272137,0.02730748225013654,6.168,404.61,1.6846,0.70782
R123,312.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.6829674058183569,0.02730748225013654,6.1226,406.02,1.6891,0.70955
R123,314.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.6873454020095002,0.02730748225013654,6.0781,407.44,1.6937,0.71129
R123,316.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.6917233982006435,0.02730748225013654,6.0343,408.87,1.6982,0.71304
R123,318.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.6961013943917869,0.02730748225013654,5.9913,410.3,1.7027,0.71481
R123,320.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7004793905829302,0.02730748225013654,5.9489,411.73,1.7072,0.71658
R123,322.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7048573867740735,0.02730748225013654,5.9072,413.16,1.7117,0.71837
R123,324.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7092353829652168,0.02730748225013654,5.8662,414.6,1.7161,0.72016
R123,326.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7136133791563601,0.02730748225013654,5.8259,416.04,1.7206,0.72196
R123,328.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7179913753475035,0.02730748225013654,5.7862,417.49,1.725,0.72377
R123,330.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7223693715386468,0.02730748225013654,5.7471,418.94,1.7294,0.72558
R123,332.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7267473677297901,0.02730748225013654,5.7086,420.39,1.7338,0.72739
R123,334.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7311253639209334,0.02730748225013654,5.6706,421.85,1.7381,0.72922
R123,336.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7355033601120767,0.02730748225013654,5.6333,423.31,1.7425,0.73104
R123,338.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.73988135630322,0.02730748225013654,5.5965,424.77,1.7469,0.73287
R123,340.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7442593524943634,0.02730748225013654,5.5602,426.24,1.7512,0.7347
R123,342.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7486373486855067,0.02730748225013654,5.5244,427.71,1.7555,0.73653
R123,344.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.75301534487665,0.02730748225013654,5.4892,429.19,1.7598,0.73837
R123,346.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7573933410677933,0.02730748225013654,5.4545,430.66,1.7641,0.7402
R123,348.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7617713372589366,0.02730748225013654,5.4202,432.15,1.7684,0.74204
R123,350.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.76614933345008,0.02730748225013654,5.3864,433.63,1.7726,0.74388
R123,352.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7705273296412233,0.02730748225013654,5.3531,435.12,1.7769,0.74571
R123,354.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7749053258323666,0.02730748225013654,5.3202,436.61,1.7811,0.74755
R123,356.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7792833220235099,0.02730748225013654,5.2878,438.11,1.7853,0.74938
R123,358.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7836613182146532,0.02730748225013654,5.2558,439.61,1.7895,0.75122
R123,360.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7880393144057964,0.02730748225013654,5.2243,441.12,1.7937,0.75305
R123,362.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7924173105969398,0.02730748225013654,5.1931,442.62,1.7979,0.75488
R123,364.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.7967953067880831,0.02730748225013654,5.1624,444.14,1.802,0.75671
R123,366.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8011733029792264,0.02730748225013654,5.132,445.65,1.8062,0.75853
R123,368.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8055512991703697,0.02730748225013654,5.102,447.17,1.8103,0.76036
R123,370.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.809929295361513,0.02730748225013654,5.0724,448.69,1.8145,0.76218
R123,372.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8143072915526564,0.02730748225013654,5.0432,450.22,1.8186,0.76399
R123,374.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8186852877437997,0.02730748225013654,5.0144,451.75,1.8227,0.76581
R123,376.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.823063283934943,0.02730748225013654,4.9859,453.28,1.8268,0.76762
R123,378.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8274412801260863,0.02730748225013654,4.9577,454.82,1.8308,0.76942
R123,380.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8318192763172296,0.02730748225013654,4.9299,456.36,1.8349,0.77123
R123,382.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.836197272508373,0.02730748225013654,4.9024,457.9,1.839,0.77302
R123,384.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8405752686995163,0.02730748225013654,4.8753,459.45,1.843,0.77482
R123,386.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8449532648906596,0.02730748225013654,4.8484,461.0,1.847,0.77661
R123,388.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8493312610818029,0.02730748225013654,4.8219,462.56,1.851,0.77839
R123,390.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8537092572729462,0.02730748225013654,4.7957,464.12,1.855,0.78017
R123,392.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8580872534640895,0.02730748225013654,4.7698,465.68,1.859,0.78195
R123,394.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8624652496552329,0.02730748225013654,4.7442,467.24,1.863,0.78372
R123,396.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8668432458463762,0.02730748225013654,4.7189,468.81,1.867,0.78549
R123,398.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8712212420375195,0.02730748225013654,4.6938,470.39,1.871,0.78725
R123,400.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8755992382286628,0.02730748225013654,4.6691,471.96,1.8749,0.78901
R123,402.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8799772344198061,0.02730748225013654,4.6446,473.54,1.8789,0.79076
R123,404.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8843552306109494,0.02730748225013654,4.6204,475.13,1.8828,0.7925
R123,406.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.8887332268020928,0.02730748225013654,4.5965,476.71,1.8867,0.79424
